PART-NO.,CLASS,DESC,O.H.,BIN,MNS,COST,CUR.VAL
12646457,629,(S)PISTON KIT,8,5,11,45.15,361.2
12647148,289,(S)GASKET KIT,2,250,10,86.23,172.46
12992403,738,(S)BOLT,1,1009,9,1.93,1.93
13267636,1173,(S)COCK,1,1014,11,7.34,7.34
13307080,3417,DUCT,1,740,9,32.03,32.03
13334022,6168,F-(S)ARM,1,772,10,64.5,64.5
13502341,14865,SENSOR,1,1151,9,100,100
13582913,2727,(S)BULB,1,28,9,17.5,17.5
14004821,831,(S)BUSHING,3,1010,10,2.24,6.72
14046812,4626,(S)BUSHING,1,1064,12,2.15,2.15
15009690,16068,(S)SWITCH,1,84,11,46.65,46.65
15017224,16150,DOOR,1,W123,10,335,335
15037290,1269,RETAINER,1,1017,13,3.53,3.53
15042048,7395,W-(S)INSULATOR,1,63,9,5.84,5.84
15045622,17507,PLATE,1,87,9,58.8,58.8
15046437,9779,(S)GRILLE,1,818,11,17.49,17.49
15050252,1272,BAFFLE,1,707,9,50.86,50.86
15053317,4128,(S)PIPE,1,620,11,22.64,22.64
15053318,4128,(S)PIPE,1,620,11,22.89,22.89
15064188,8846,(S)HOSE,2,809,10,17.42,34.84
15087071,4779,(S)CABLE,1,757,9,24.51,24.51
15092328,16480,(S)RAMP,1,85,9,12.89,12.89
15092802,3704,INSULATOR,1,40,10,11.1,11.1
15093449,17202,(S)STRUT,1,876,9,18.38,18.38
15093450,17202,(S)STRUT,1,876,9,18.95,18.95
15095429,17507,MOLDING,1,W303,9,74.71,74.71
15101582,4054,(S)SWITCH,1,1054,14,17.39,17.39
15106803,1266,GRILLE,1,W120,9,387,387
15107594,3451,(S)PEDAL,1,741,10,43.09,43.09
15135452,7836,BRACE,1,794,9,13.06,13.06
15137021,3130,(S)CANISTER,1,732,9,120.44,120.44
15146196,8015,CABLE,2,66,10,26.45,52.9
15151434,16263,(S)SWITCH,1,84,11,26.32,26.32
15162843,1269,CLIP,2,1017,12,3.22,6.44
15173052,16350,(S)HANDLE,1,85,24,77.03,77.03
15176921,7833,DEFLECTOR,1,65,11,14.2,14.2
15179982,2341,(S)STRAP,1,20,9,4.73,4.73
15189391,17100,VALVE,1,875,11,20.09,20.09
15192143,16062,(S)BLADE,1,840,10,7.25,7.25
15199886,7800,ATTACHMENT KIT,1,785,9,19.94,19.94
15201406,9665,SPEAKER,1,817,10,19.37,19.37
15206648,16742,RETAINER,1,1174,11,6,6
15208506,12269,(S)WEATHERSTRIP,1,837,10,58.8,58.8
15210191,11175,PLATE,1,,9,53.21,53.21
15226944,16068,MIRROR,1,844,9,93.15,93.15
15229310,3001,TANK,1,W107,9,477,477
15230657,16565,F-BAG,1,W115,10,168.19,168.19
15230685,8141,REINFORCEMENT,2,804,10,21.16,42.32
15231656,6522,(S)SENSOR,1,60,12,53.4,53.4
15234845,2560,(S)MODULE,1,711,11,114.35,114.35
15240259,9023,INSULATOR,1,71,9,26.62,26.62
15244250,16225,(S)WEATHERSTRIP,1,856,33,50.2,50.2
15253589,7833,PANEL,1,793,9,41.28,41.28
15253590,7833,PANEL,1,,9,41.28,41.28
15259659,2726,RETAINER,1,27,9,15.59,15.59
15259660,2726,RETAINER,1,27,10,27.35,27.35
15262947,16742,MOLDING,2,874,9,43.98,87.96
15264276,7831,BAR,1,W117,9,96.6,96.6
15264475,2679,LAMP,1,713,10,72.71,72.71
15264590,4128,(S)HOSE,1,47,11,21.16,21.16
15267756,14865,SENSOR,1,1151,25,50,50
15269823,7395,(S)MOUNT KIT,1,783,11,75.09,75.09
